t,Euler,k1,Midpt,k1,k2,RK4,k1,k2,k3,k4
28.2,-19879.007922,-1397.722213,-19947.325807,-1397.646305,-1400.068658,-19947.323277,-1397.646307,-1400.068660,-1400.068526,-1402.490744,
28.3,-20018.780143,-1402.566911,-20087.332673,-1402.490741,-1404.912825,-20087.330134,-1402.490744,-1404.912828,-1404.912694,-1407.334643,
28.4,-20159.036834,-1407.411070,-20227.823955,-1407.334640,-1409.756455,-20227.821408,-1407.334643,-1409.756458,-1409.756323,-1412.178003,
28.5,-20299.777941,-1412.254691,-20368.799601,-1412.178000,-1414.599546,-20368.797044,-1412.178003,-1414.599549,-1414.599414,-1417.020826,
28.6,-20441.003410,-1417.097774,-20510.259555,-1417.020823,-1419.442099,-20510.256990,-1417.020826,-1419.442102,-1419.441968,-1421.863110,
28.7,-20582.713188,-1421.940319,-20652.203765,-1421.863107,-1424.284115,-20652.201192,-1421.863110,-1424.284117,-1424.283983,-1426.704856,
28.8,-20724.907219,-1426.782325,-20794.632177,-1426.704853,-1429.125592,-20794.629594,-1426.704856,-1429.125595,-1429.125460,-1431.546064,
28.9,-20867.585452,-1431.623794,-20937.544736,-1431.546061,-1433.966531,-20937.542145,-1431.546064,-1433.966534,-1433.966399,-1436.386735,
29.0,-21010.747831,-1436.464725,-21080.941389,-1436.386732,-1438.806933,-21080.938789,-1436.386735,-1438.806935,-1438.806801,-1441.226867,
29.1,-21154.394304,-1441.305117,-21224.822082,-1441.226864,-1443.646796,-21224.819474,-1441.226867,-1443.646799,-1443.646665,-1446.066462,
29.2,-21298.524816,-1446.144972,-21369.186762,-1446.066459,-1448.486122,-21369.184145,-1446.066462,-1448.486125,-1448.485991,-1450.905519,
29.3,-21443.139313,-1450.984290,-21514.035374,-1450.905516,-1453.324910,-21514.032748,-1450.905519,-1453.324913,-1453.324779,-1455.744039,
29.4,-21588.237742,-1455.823069,-21659.367865,-1455.744036,-1458.163161,-21659.365231,-1455.744039,-1458.163164,-1458.163030,-1460.582021,
29.5,-21733.820049,-1460.661311,-21805.184181,-1460.582018,-1463.000874,-21805.181538,-1460.582021,-1463.000877,-1463.000743,-1465.419465,
29.6,-21879.886180,-1465.499015,-21951.484269,-1465.419462,-1467.838050,-21951.481617,-1465.419465,-1467.838053,-1467.837918,-1470.256372,
29.7,-22026.436081,-1470.336182,-22098.268074,-1470.256369,-1472.674688,-22098.265413,-1470.256372,-1472.674691,-1472.674557,-1475.092741,
29.8,-22173.469700,-1475.172811,-22245.535542,-1475.092738,-1477.510789,-22245.532873,-1475.092741,-1477.510792,-1477.510657,-1479.928573,
29.9,-22320.986981,-1480.008903,-22393.286621,-1479.928570,-1482.346352,-22393.283944,-1479.928573,-1482.346355,-1482.346221,-1484.763868,
30.0,-22468.987871,-1484.844458,-22541.521256,-1484.763865,-1487.181378,-22541.518570,-1484.763868,-1487.181381,-1487.181247,-1489.598626,
30.1,-22617.472317,-1489.679475,-22690.239394,-1489.598623,-1492.015867,-22690.236699,-1489.598626,-1492.015870,-1492.015736,-1494.432846,
30.2,-22766.440264,-1494.513955,-22839.440981,-1494.432843,-1496.849819,-22839.438277,-1494.432846,-1496.849822,-1496.849688,-1499.266530,
30.3,-22915.891660,-1499.347898,-22989.125963,-1499.266527,-1501.683234,-22989.123251,-1499.266530,-1501.683237,-1501.683103,-1504.099676,
30.4,-23065.826450,-1504.181304,-23139.294286,-1504.099673,-1506.516112,-23139.291565,-1504.099676,-1506.516115,-1506.515981,-1508.932285,
30.5,-23216.244580,-1509.014173,-23289.945898,-1508.932282,-1511.348453,-23289.943168,-1508.932285,-1511.348456,-1511.348322,-1513.764358,
30.6,-23367.145997,-1513.846504,-23441.080743,-1513.764355,-1516.180257,-23441.078005,-1513.764358,-1516.180260,-1516.180126,-1518.595893,
30.7,-23518.530648,-1518.678299,-23592.698768,-1518.595890,-1521.011524,-23592.696022,-1518.595893,-1521.011527,-1521.011393,-1523.426892,
30.8,-23670.398478,-1523.509557,-23744.799921,-1523.426889,-1525.842254,-23744.797165,-1523.426892,-1525.842257,-1525.842123,-1528.257354,
30.9,-23822.749433,-1528.340278,-23897.384146,-1528.257351,-1530.672448,-23897.381382,-1528.257354,-1530.672451,-1530.672317,-1533.087279,
31.0,-23975.583461,-1533.170463,-24050.451391,-1533.087276,-1535.502105,-24050.448618,-1533.087279,-1535.502108,-1535.501974,-1537.916668,
31.1,-24128.900508,-1538.000111,-24204.001602,-1537.916665,-1540.331225,-24203.998820,-1537.916668,-1540.331228,-1540.331094,-1542.745520,
31.2,-24282.700519,-1542.829222,-24358.034724,-1542.745517,-1545.159809,-24358.031934,-1542.745520,-1545.159812,-1545.159678,-1547.573836,
31.3,-24436.983441,-1547.657796,-24512.550705,-1547.573833,-1549.987856,-24512.547906,-1547.573836,-1549.987859,-1549.987725,-1552.401615,
31.4,-24591.749220,-1552.485834,-24667.549491,-1552.401612,-1554.815367,-24667.546683,-1552.401615,-1554.815370,-1554.815236,-1557.228858,
31.5,-24746.997804,-1557.313336,-24823.031027,-1557.228854,-1559.642342,-24823.028211,-1557.228858,-1559.642345,-1559.642211,-1562.055564,
31.6,-24902.729137,-1562.140301,-24978.995261,-1562.055561,-1564.468780,-24978.992437,-1562.055564,-1564.468783,-1564.468649,-1566.881734,
31.7,-25058.943167,-1566.966730,-25135.442139,-1566.881731,-1569.294682,-25135.439306,-1566.881734,-1569.294685,-1569.294551,-1571.707368,
31.8,-25215.639840,-1571.792622,-25292.371608,-1571.707365,-1574.120048,-25292.368766,-1571.707368,-1574.120051,-1574.119917,-1576.532466,
31.9,-25372.819103,-1576.617979,-25449.783612,-1576.532463,-1578.944878,-25449.780762,-1576.532466,-1578.944881,-1578.944747,-1581.357028,
32.0,-25530.480901,-1581.442799,-25607.678100,-1581.357024,-1583.769171,-25607.675241,-1581.357028,-1583.769174,-1583.769040,-1586.181053,
32.1,-25688.625180,-1586.267083,-25766.055017,-1586.181050,-1588.592929,-25766.052150,-1586.181053,-1588.592932,-1588.592798,-1591.004543,
32.2,-25847.251889,-1591.090831,-25924.914310,-1591.004540,-1593.416151,-25924.911434,-1591.004543,-1593.416154,-1593.416020,-1595.827497,
32.3,-26006.360972,-1595.914043,-26084.255925,-1595.827493,-1598.238836,-26084.253040,-1595.827497,-1598.238840,-1598.238706,-1600.649915,
32.4,-26165.952376,-1600.736720,-26244.079809,-1600.649911,-1603.060986,-26244.076915,-1600.649915,-1603.060990,-1603.060856,-1605.471797,
32.5,-26326.026048,-1605.558860,-26404.385907,-1605.471793,-1607.882601,-26404.383005,-1605.471797,-1607.882604,-1607.882470,-1610.293143,
32.6,-26486.581934,-1610.380465,-26565.174168,-1610.293140,-1612.703679,-26565.171257,-1610.293143,-1612.703682,-1612.703548,-1615.113954,
32.7,-26647.619981,-1615.201533,-26726.444535,-1615.113951,-1617.524222,-26726.441616,-1615.113954,-1617.524225,-1617.524091,-1619.934229,
32.8,-26809.140134,-1620.022067,-26888.196958,-1619.934226,-1622.344229,-26888.194030,-1619.934229,-1622.344233,-1622.344099,-1624.753968,
32.9,-26971.142341,-1624.842064,-27050.431381,-1624.753965,-1627.163701,-27050.428444,-1624.753968,-1627.163704,-1627.163570,-1629.573172,
33.0,-27133.626547,-1629.661526,-27213.147751,-1629.573169,-1631.982637,-27213.144806,-1629.573172,-1631.982641,-1631.982507,-1634.391841,
33.1,-27296.592700,-1634.480453,-27376.346014,-1634.391838,-1636.801038,-27376.343061,-1634.391841,-1636.801041,-1636.800908,-1639.209974,
33.2,-27460.040745,-1639.298844,-27540.026118,-1639.209971,-1641.618904,-27540.023156,-1639.209974,-1641.618907,-1641.618773,-1644.027572,
33.3,-27623.970629,-1644.116699,-27704.188009,-1644.027569,-1646.436234,-27704.185038,-1644.027572,-1646.436237,-1646.436104,-1648.844635,
33.4,-27788.382299,-1648.934020,-27868.831632,-1648.844632,-1651.253029,-27868.828652,-1648.844635,-1651.253032,-1651.252899,-1653.661162,
33.5,-27953.275701,-1653.750805,-28033.956935,-1653.661159,-1656.069289,-28033.953947,-1653.661162,-1656.069292,-1656.069158,-1658.477155,
33.6,-28118.650782,-1658.567055,-28199.563864,-1658.477151,-1660.885014,-28199.560867,-1658.477155,-1660.885017,-1660.884883,-1663.292612,
